psnum_na,psnum_ps,turnout_percentage_ps,total_votes,psnum,pti_acc_ecp,est_acc_ecp,total_votes_acc_ecp,pti_acc_pti,est_acc_pti,total_votes_acc_pti,pti_acc_pti_fixed,est_acc_pti_fixed,total_votes_acc_pti_fixed,est_diff,pti_diff,total_votes_diff,ecp_pti_discrepency,pti_won_acc_ecp,ecp_winner,pti_winner,name,registered_voters,turnout_acc_ecp,turnout_acc_pti
166.0,53.0,0.39105339105339104,813.0,166,196,272,812.0,196.0,272.0,812.0,196.0,272.0,812.0,0.0,0.0,0.0,False,False,SYED MUSTAFA KAMAL MQM,SYED MUSTAFA KAMAL MQM,45,2079,0.39057239057239057,0.39057239057239057
167.0,54.0,0.28885923949299536,433.0,167,86,152,433.0,,,,86.0,152.0,433.0,0.0,0.0,0.0,False,False,SYED MUSTAFA KAMAL MQM,SYED MUSTAFA KAMAL MQM,45,1499,0.28885923949299536,0.28885923949299536
168.0,55.0,0.3655367231638418,647.0,168,180,142,647.0,,,,180.0,142.0,647.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,46,1770,0.3655367231638418,0.3655367231638418
169.0,56.0,0.2160919540229885,282.0,169,94,57,282.0,94.0,57.0,282.0,94.0,57.0,282.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,46,1305,0.2160919540229885,0.2160919540229885
170.0,57.0,0.2874125874125874,411.0,170,143,64,411.0,143.0,64.0,411.0,143.0,64.0,411.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,46,1430,0.2874125874125874,0.2874125874125874
171.0,58.0,0.3403389830508475,502.0,171,189,95,527.0,,,,189.0,95.0,527.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,46,1475,0.3572881355932203,0.3572881355932203
,,0.3064935064935065,,172,28,14,354.0,28.0,14.0,354.0,28.0,14.0,354.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,47,1155,0.3064935064935065,0.3064935064935065
,,0.9259656652360515,,173,46,605,863.0,46.0,5.0,248.0,46.0,5.0,248.0,600.0,0.0,615.0,False,False,SYED MUSTAFA KAMAL MQM,DAWA KHAN SABIR  PTI,47,932,0.9259656652360515,0.26609442060085836
,,0.4030274361400189,,174,23,10,426.0,,,,23.0,10.0,426.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,47,1057,0.4030274361400189,0.4030274361400189
,,0.5590062111801242,,175,55,350,450.0,8.0,11.0,,8.0,11.0,450.0,339.0,47.0,0.0,True,False,SYED MUSTAFA KAMAL MQM,SYED MUSTAFA KAMAL MQM,48,805,0.5590062111801242,0.5590062111801242
,,0.8051823416506718,,176,777,55,839.0,,,,777.0,55.0,839.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,48,1042,0.8051823416506718,0.8051823416506718
,,0.3581699346405229,,177,54,6,274.0,51.0,6.0,,51.0,6.0,274.0,0.0,3.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,48,765,0.3581699346405229,0.3581699346405229
,,,,178,195,149,,195.0,149.0,,195.0,149.0,,0.0,0.0,,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,49,1924,,
,,0.25617977528089886,,179,112,52,342.0,112.0,52.0,,112.0,52.0,342.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,49,1335,0.25617977528089886,0.25617977528089886
