PSNO_NA_ECP,PSNO_PA_ECP,PA_NO,PS_REGISTERED_VOTERS,WINNER_ECP,OPP_VOTES_ECP,PTI_VOTES_ECP,TURNOUT_NA_ECP,TURNOUT_NA_PERCENTAGE_ECP,TURNOUT_PA_ECP,TURNOUT_PA_PERCENTAGE_ECP,TURNOUT_DIFFERENCE,OPP_VOTES_PTI,PTI_VOTES_PTI,TURNOUT_NA_PTI,ECP_PTI_DIFFERENCE_OPP_VOTES
142,67,110,1348,Khurram Sher Zaman,90,257,347,25.74183976,Missing,#VALUE!,#VALUE!,23,144,489,234
143,68,110,2017,Khurram Sher Zaman,133,144,277,13.73326723,Missing,#VALUE!,#VALUE!,13,340,700,131
144,69,110,2658,Khurram Sher Zaman,18,340,360,13.54401806,Missing,#VALUE!,#VALUE!,241,434,955,99
145,70,110,2672,Khurram Sher Zaman,17,434,451,16.87874251,Missing,#VALUE!,#VALUE!,360,453,1001,74
146,71,110,2183,Khurram Sher Zaman,10,453,463,21.20934494,Missing,#VALUE!,#VALUE!,254,332,941,199
147,72,110,2348,Khurram Sher Zaman,6,332,339,14.43781942,Missing,#VALUE!,#VALUE!,27,320,1039,305
148,73,110,2131,Khurram Sher Zaman,58,320,378,17.7381511,Missing,#VALUE!,#VALUE!,46,513,780,274
149,74,110,2518,Khurram Sher Zaman,250,513,763,30.30182685,Missing,#VALUE!,#VALUE!,23,611,922,490
150,75,110,2024,Khurram Sher Zaman,123,611,734,36.26482213,Missing,#VALUE!,#VALUE!,Missing,Missing,Missing,#VALUE!
151,76,110,377,Khurram Sher Zaman,0,385,503,133.4217507,Missing,#VALUE!,#VALUE!,Missing,Missing,Missing,#VALUE!
152,77,110,1382,Khurram Sher Zaman,14,286,300,21.70767004,Missing,#VALUE!,#VALUE!,20,188,517,266
153,78,110,2627,Khurram Sher Zaman,6,188,194,7.384849638,Missing,#VALUE!,#VALUE!,286,420,1106,-98
154,79,110,2062,Khurram Sher Zaman,3,400,403,19.54413191,Missing,#VALUE!,#VALUE!,253,332,895,147
155,80,110,2413,Khurram Sher Zaman,26,332,364,15.08495649,Missing,#VALUE!,#VALUE!,Missing,Missing,Missing,#VALUE!
156,81,110,2222,Khurram Sher Zaman,9,397,406,18.27182718,Missing,#VALUE!,#VALUE!,46,453,717,351
157,82,110,2090,Khurram Sher Zaman,9,453,462,22.10526316,Missing,#VALUE!,#VALUE!,24,405,588,429
158,83,110,2094,Khurram Sher Zaman,26,405,436,20.82139446,Missing,#VALUE!,#VALUE!,19,387,574,386
159,84,110,2687,Khurram Sher Zaman,11,378,391,14.55154447,Missing,#VALUE!,#VALUE!,Missing,Missing,Missing,#VALUE!
160,85,110,2052,Khurram Sher Zaman,128,562,690,33.62573099,Missing,#VALUE!,#VALUE!,128,241,547,434
161,86,110,1445,Khurram Sher Zaman,166,253,430,29.75778547,Missing,#VALUE!,#VALUE!,34,253,440,219
162,87,110,3304,Khurram Sher Zaman,10,253,263,7.960048426,Missing,#VALUE!,#VALUE!,Missing,Missing,Missing,#VALUE!
163,88,110,2095,Khurram Sher Zaman,29,411,440,21.00238663,Missing,#VALUE!,#VALUE!,29,425,647,382
164,89,110,1855,Khurram Sher Zaman,16,476,444,23.93530997,Missing,#VALUE!,#VALUE!,36,369,545,440
165,90,110,2558,Mirza Ikhtiar Baig,8,0,547,21.38389367,Missing,#VALUE!,#VALUE!,44,480,770,-44
166,91,110,1444,Khurram Sher Zaman,16,480,497,34.41828255,Missing,#VALUE!,#VALUE!,50,324,508,430
167,92,110,1312,Khurram Sher Zaman,16,324,340,25.91463415,Missing,#VALUE!,#VALUE!,37,320,516,287
168,93,110,2400,Khurram Sher Zaman,5,320,336,14,Missing,#VALUE!,#VALUE!,43,440,719,277
169,94,110,2296,Khurram Sher Zaman,10,440,452,19.68641115,Missing,#VALUE!,#VALUE!,84,547,743,356
170,95,110,1727,Khurram Sher Zaman,7,456,463,26.80949624,Missing,#VALUE!,#VALUE!,20,401,621,436
171,96,110,2151,Khurram Sher Zaman,15,379,394,18.31706183,Missing,#VALUE!,#VALUE!,29,401,581,350
172,97,110,1595,Khurram Sher Zaman,25,401,602,37.74294671,Missing,#VALUE!,#VALUE!,Missing,Missing,Missing,#VALUE!
173,98,110,1718,Khurram Sher Zaman,13,283,305,17.7532014,Missing,#VALUE!,#VALUE!,20,413,612,263
174,99,110,1912,Khurram Sher Zaman,170,423,593,31.01464435,Missing,#VALUE!,#VALUE!,17,527,838,406
175,100,110,2552,Khurram Sher Zaman,19,27,151,5.9169279,Missing,#VALUE!,#VALUE!,Missing,Missing,1008,#VALUE!
176,101,110,2335,Khurram Sher Zaman,11,300,311,13.31905782,Missing,#VALUE!,#VALUE!,46,498,761,254
177,102,110,1343,Khurram Sher Zaman,9,498,507,37.75130305,Missing,#VALUE!,#VALUE!,18,316,481,480
178,103,110,2343,Khurram Sher Zaman,5,320,328,13.99914639,Missing,#VALUE!,#VALUE!,15,508,754,305
179,104,110,2713,Khurram Sher Zaman,13,201,214,7.887946922,Missing,#VALUE!,#VALUE!,25,508,744,176
180,105,110,1302,Khurram Sher Zaman,7,508,530,40.70660522,Missing,#VALUE!,#VALUE!,17,388,526,491
181,106,110,1865,Khurram Sher Zaman,0,333,443,23.75335121,Missing,#VALUE!,#VALUE!,0,408,521,333
182,107,110,1498,Khurram Sher Zaman,15,391,504,33.64485981,Missing,#VALUE!,#VALUE!,35,366,514,356
183,108,110,1478,Khurram Sher Zaman,11,408,419,28.34912043,Missing,#VALUE!,#VALUE!,19,327,468,389
184,109,110,1257,Khurram Sher Zaman,4,366,395,31.42402546,Missing,#VALUE!,#VALUE!,19,304,453,347
185,110,110,1705,Khurram Sher Zaman,7,101,113,6.627565982,Missing,#VALUE!,#VALUE!,Missing,Missing,Missing,#VALUE!
186,111,110,1751,Khurram Sher Zaman,8,304,343,19.5888064,Missing,#VALUE!,#VALUE!,26,536,794,278
187,112,110,2142,Khurram Sher Zaman,9,35,372,17.36694678,Missing,#VALUE!,#VALUE!,30,524,765,5
188,113,110,1377,Khurram Sher Zaman,3,536,738,53.59477124,Missing,#VALUE!,#VALUE!,15,313,424,521
189,114,110,1703,Khurram Sher Zaman,5,524,531,31.18027011,Missing,#VALUE!,#VALUE!,30,419,643,494
190,115,110,2118,Khurram Sher Zaman,7,313,345,16.28895184,Missing,#VALUE!,#VALUE!,18,545,802,295
191,116,110,2000,Khurram Sher Zaman,10,19,39,1.95,Missing,#VALUE!,#VALUE!,6,547,783,13
192,117,110,2011,Khurram Sher Zaman,8,545,553,27.49875684,Missing,#VALUE!,#VALUE!,0,545,711,545
193,118,110,1662,Khurram Sher Zaman,10,47,146,8.784596871,Missing,#VALUE!,#VALUE!,17,441,591,30
194,119,110,1564,Khurram Sher Zaman,5,379,384,24.55242967,Missing,#VALUE!,#VALUE!,21,379,553,358
195,120,110,1698,Khurram Sher Zaman,6,441,447,26.32508834,Missing,#VALUE!,#VALUE!,27,417,531,414
196,121,110,1367,Khurram Sher Zaman,5,379,884,64.66715435,Missing,#VALUE!,#VALUE!,Missing,346,362,#VALUE!
197,122,110,1809,Khurram Sher Zaman,19,417,436,24.10171365,577,31.89607518,141,13,417,574,404
198,123,110,1655,Khurram Sher Zaman,17,346,363,21.93353474,535,32.32628399,172,26,362,528,320
199,124,110,1900,Khurram Sher Zaman,10,41,66,3.473684211,578,30.42105263,512,24,425,567,17
200,125,110,1533,Khurram Sher Zaman,32,62,204,13.3072407,527,34.37703849,323,18,380,527,44
201,126,110,1648,Khurram Sher Zaman,32,221,257,15.59466019,574,34.83009709,317,26,421,563,195
