PSNO_NA_ECP,PSNO_PA_ECP,PA_NO,PS_REGISTERED_VOTERS,WINNER_ECP,OPP_VOTES_ECP,PTI_VOTES_ECP,TURNOUT_NA_ECP,TURNOUT_NA_PERCENTAGE_ECP,TURNOUT_PA_ECP,TURNOUT_PA_PERCENTAGE_ECP,TURNOUT_DIFFERENCE,OPP_VOTES_PTI,PTI_VOTES_PTI,TURNOUT_NA_PTI,ECP_PTI_DIFFERENCE_OPP_VOTES,Comments
231,53,100,1577,Hassan Nasir (MQM),118,0,395,0.25047559,502,0.31832594,107,,,,,
232,54,100,1617,Hassan Nasir (MQM),121,0,404,0.24984539,517,0.31972789,113,,,,,
233,55,100,1468,Hassan Nasir (MQM),110,0,367,0.25000000,411,0.27997275,44,,,,,
234,56,100,2227,Hassan Nasir (MQM),167,0,557,0.25011226,712,0.31971262,155,,,,,
235,57,100,1569,Hassan Nasir (MQM),118,0,392,0.24984066,564,0.35946463,172,,,,,
236,58,100,1793,Hassan Nasir (MQM),134,0,448,0.24986057,610,0.34021194,162,,,,,
237,59,100,2013,Hassan Nasir (MQM),151,0,503,0.24987581,685,0.34028813,182,,,,,
238,60,100,2771,Hassan Nasir (MQM),208,0,693,0.25009022,942,0.33994948,249,,,,,
239,61,100,1119,Hassan Nasir (MQM),84,0,279,0.24932976,279,0.24932976,0,,,,,
240,62,100,1793,Hassan Nasir (MQM),134,0,448,0.24986057,502,0.27997769,54,,,,,
241,63,100,1753,Hassan Nasir (MQM),131,0,438,0.24985739,543,0.30975471,105,,,,,
242,64,100,2199,Hassan Nasir (MQM),165,0,550,0.25011369,593,0.26966803,43,,,,,
243,65,100,2058,Hassan Nasir (MQM),154,0,514,0.24975705,638,0.31000972,124,,,,,
244,66,100,1374,Hassan Nasir (MQM),103,0,343,0.24963610,439,0.31950509,96,,,,,
245,67,100,2299,Hassan Nasir (MQM),172,0,575,0.25010874,771,0.33536320,196,,,,,
246,68,100,1428,Hassan Nasir (MQM),107,0,357,0.25000000,485,0.33963585,128,,,,,
247,69,100,1483,Hassan Nasir (MQM),111,0,371,0.25016858,504,0.33985165,133,,,,,
248,70,100,1061,Hassan Nasir (MQM),80,0,266,0.25070688,413,0.38925542,147,,,,,
249,71,100,1527,Hassan Nasir (MQM),115,0,382,0.25016372,549,0.35952849,167,,,,,
250,72,100,2407,Hassan Nasir (MQM),181,0,601,0.24968841,698,0.28998754,97,,,,,
251,73,100,1682,Hassan Nasir (MQM),126,0,421,0.25029727,454,0.26991677,33,,,,,
252,74,100,2099,Hassan Nasir (MQM),157,0,525,0.25011910,647,0.30824202,122,,,,,
253,75,100,1521,Hassan Nasir (MQM),114,0,380,0.24983563,517,0.33990796,137,,,,,
254,76,100,1892,Hassan Nasir (MQM),142,0,473,0.25000000,802,0.42389006,329,,,,,
255,77,100,2360,Hassan Nasir (MQM),177,0,591,0.25042373,587,0.24872881,4,,,,,
256,78,100,2268,Hassan Nasir (MQM),170,0,566,0.24955908,653,0.28791887,87,,,,,
257,79,100,1797,Hassan Nasir (MQM),135,0,449,0.24986088,481,0.26766834,32,,,,,
258,80,100,2075,Hassan Nasir (MQM),366,0,519,0.25012048,685,0.33012048,166,,,,,
259,81,100,2470,Hassan Nasir (MQM),185,0,617,0.24979757,835,0.33805668,218,,,,,
260,82,100,1284,Hassan Nasir (MQM),10,0,322,0.25077882,296,0.23052960,26,,,,,
261,83,100,1631,Hassan Nasir (MQM),122,0,408,0.25015328,587,0.35990190,179,,,,,
262,84,100,2051,Hassan Nasir (MQM),154,0,513,0.25012189,472,0.23013164,41,,,,,
263,85,100,2209,Hassan Nasir (MQM),166,0,553,0.25033952,508,0.22996831,45,,,,,
264,86,100,1818,Hassan Nasir (MQM),136,0,454,0.24972497,564,0.31023102,110,,,,,
265,87,100,1120,Hassan Nasir (MQM),84,0,280,0.25000000,347,0.30982143,67,,,,,
