PSNO_NA_ECP,PSNO_PA_ECP,PA_NO,PS_REGISTERED_VOTERS,WINNER_ECP,OPP_VOTES_ECP,PTI_VOTES_ECP,TURNOUT_NA_ECP,TURNOUT_NA_PERCENTAGE_ECP,TURNOUT_PA_ECP,TURNOUT_PA_PERCENTAGE_ECP,TURNOUT_DIFFERENCE,OPP_VOTES_PTI,PTI_VOTES_PTI,TURNOUT_NA_PTI,ECP_PTI_DIFFERENCE_OPP_VOTES,Comments
279,101,100,1149,Hassan Nasir (MQM),86,0,286,0.24891210,413,0.35944299,127,,,,,
280,102,100,1311,Hassan Nasir (MQM),98,0,328,0.25019069,302,0.23035850,26,,,,,
281,103,100,1956,Hassan Nasir (MQM),98,0,328,0.16768916,723,0.36963190,395,,,,,
282,104,100,1370,Hassan Nasir (MQM),103,0,343,0.25036496,411,0.30000000,68,,,,,
283,105,100,1115,Hassan Nasir (MQM),84,0,279,0.25022422,334,0.29955157,55,,,,,
284,106,100,1578,Hassan Nasir (MQM),118,0,396,0.25095057,363,0.23003802,33,,,,,
285,107,100,2446,Hassan Nasir (MQM),154,0,612,0.25020442,832,0.34014718,220,,,,,
286,108,100,2823,Equal Votes,0,0,706,0.25008856,875,0.30995395,169,,,,,
287,109,100,1753,Equal Votes,0,0,438,0.24985739,473,0.26982316,35,,,,,
288,110,100,1889,Hassan Nasir (MQM),6,0,472,0.24986765,642,0.33986236,170,,,,,
289,111,100,2247,Hassan Nasir (MQM),9,0,562,0.25011126,741,0.32977303,179,,,,,
290,112,100,2655,Hassan Nasir (MQM),13,0,664,0.25009416,929,0.34990584,265,,,,,
291,113,100,2436,Hassan Nasir (MQM),183,85,608,0.24958949,807,0.33128079,199,,,,,
292,114,100,2496,Hassan Nasir (MQM),125,0,625,0.25040064,653,0.26161859,28,,,,,
293,115,100,1198,Hassan Nasir (MQM),6,0,284,0.23706177,372,0.31051753,88,,,,,
294,116,100,2400,Hassan Nasir (MQM),4,0,600,0.25000000,646,0.26916667,46,,,,,
